Z,mus,mup,mum,phis,phip,phim
0.0001,0.01881400260782,-6.33377831530005,-5.6375303206744,0.950824564409406,0.00174621751018312,0.00350325599365341
0.0003,0.0188140026078195,-6.33377831530018,-5.63753032067439,0.950824564365652,0.00174621751066228,0.00350325599577855
0.0005,0.0188140026078217,-6.33377831530032,-5.63753032067429,0.950824564277103,0.00174621751163242,0.0035032560000798
0.0007,0.0188140026078144,-6.33377831530018,-5.63753032067431,0.950824564141651,0.00174621751311616,0.00350325600665913
0.0009,0.018814002607823,-6.3337783153005,-5.6375303206745,0.95082456395607,0.00174621751514906,0.00350325601567337
0.0011,0.0188140026078237,-6.33377831530033,-5.63753032067448,0.950824563715943,0.00174621751778002,0.00350325602733759
0.0013,0.0188140026078119,-6.3337783153007,-5.63753032067446,0.950824563415553,0.00174621752106989,0.00350325604192784
0.0015,0.0188140026078116,-6.33377831530052,-5.63753032067446,0.95082456304775,0.00174621752509954,0.00350325605979379
0.0017,0.0188140026078131,-6.33377831530079,-5.63753032067457,0.950824562603778,0.00174621752996304,0.00350325608135905
0.0019,0.0188140026078043,-6.33377831530096,-5.63753032067442,0.950824562073066,0.00174621753577674,0.00350325610713752
0.0021,0.0188140026078072,-6.33377831530112,-5.63753032067461,0.950824561442982,0.00174621754267928,0.00350325613774311
0.0023,0.0188140026077906,-6.3337783153009,-5.63753032067452,0.950824560698525,0.00174621755083469,0.00350325617390415
0.0025,0.0188140026077927,-6.33377831530098,-5.63753032067463,0.950824559821972,0.00174621756043754,0.00350325621648188
0.0027,0.0188140026077799,-6.33377831530085,-5.63753032067479,0.950824558792457,0.00174621757171563,0.00350325626648916
0.0029,0.0188140026077598,-6.33377831530064,-5.6375303206746,0.950824557585471,0.00174621758493818,0.00350325632511712
0.0031,0.0188140026077624,-6.33377831530067,-5.63753032067474,0.950824556172281,0.00174621760042016,0.00350325639376165
0.0033,0.0188140026077526,-6.3337783153006,-5.63753032067465,0.950824554519244,0.00174621761852956,0.00350325647405639
0.0035,0.0188140026077401,-6.33377831530056,-5.6375303206746,0.950824552587007,0.00174621763969748,0.0035032565679128
0.0037,0.0188140026077363,-6.33377831530084,-5.63753032067466,0.950824550329571,0.00174621766442795,0.00350325667756537
0.0039,0.0188140026077306,-6.33377831530083,-5.63753032067477,0.950824547693196,0.00174621769331007,0.00350325680562482
