Z,mus,mup,mum,Fs,Fp,Fm,phis,phip,phim
0,-0.0154858161649742,-4.60599424180007,-4.60597181967675,-0.0114445433783262,-4.61590892151655,-4.61588649939323,0.710426587813195,0.00490792633243581,0.0156678324678948
0.001,-0.0154858665297966,-4.6059941763887,-4.60597180840836,-0.0114489979664312,-4.6158980509736,-4.61587568299326,0.710789068143038,0.0049131871796678,0.0156587470834227
0.002,-0.015486020416248,-4.60599399171344,-4.60597177510538,-0.0114627558559944,-4.61586437291132,-4.61584215630325,0.711875719062241,0.00492899133327131,0.0156315412667796
0.003,-0.0154862796205409,-4.60599368313561,-4.6059717098432,-0.0114869782270759,-4.61580464834856,-4.61578267505615,0.713684094033743,0.00495540267453382,0.0155863680828872
0.004,-0.0154866471899145,-4.6059932433052,-4.60597159590399,-0.0115235271522146,-4.61571354080622,-4.61569189340501,0.716209861815745,0.00499252331281347,0.0155234883727607
0.005,-0.0154871276133407,-4.60599266278132,-4.60597140954602,-0.0115748560746315,-4.61558371744076,-4.61556246420546,0.719446433063394,0.00504048687488015,0.0154432789205281
0.006,-0.0154877270759256,-4.60599193094872,-4.60597111978476,-0.0116438576372434,-4.61540600633775,-4.61538519517378,0.723384452690604,0.00509944879151606,0.0153462430117608
0.007,-0.0154884537606986,-4.60599103726153,-4.60597068829378,-0.0117336711409316,-4.61516962451717,-4.61514927554942,0.728011174033174,0.00516957329774524,0.0152330225043351
0.008,-0.0154893181706276,-4.60598997283033,-4.60597006956794,-0.0118474539978143,-4.61486249358909,-4.6148425903267,0.733309736610136,0.00525101683693887,0.0151044102875537
0.009,-0.0154903334303201,-4.60598873233471,-4.60596921152313,-0.0119881244218042,-4.61447166088566,-4.61445214007408,0.739258375686965,0.00534390758249149,0.0149613617804935
0.01,-0.0154915155111122,-4.60598731618917,-4.6059680567309,-0.0121580861208191,-4.61398384280964,-4.61396458335137,0.745829598799502,0.00544832088251179,0.0148050039377224
0.011,-0.0154928833078839,-4.60598573281642,-4.60596654449129,-0.0123589496027409,-4.61338610359524,-4.61336691527012,0.752989371663976,0.00556425061367338,0.0146366401178533
0.012,-0.0154944584841211,-4.60598400079342,-4.60596461392348,-0.0125912683857908,-4.61266667622344,-4.6126472893535,0.760696363095317,0.00569157672003638,0.0144577491609829
0.013,-0.0154962649982737,-4.60598215054678,-4.60596220818303,-0.0128543112768102,-4.61181592253105,-4.61179598016729,0.768901305160664,0.00583002962626671,0.014269977148836
0.014,-0.0154983282348545,-4.60598022520378,-4.60595927978585,-0.0131458932424363,-4.61082741643285,-4.61080647101493,0.777546530158871,0.00597915275613442,0.0140751206149367
0.015,-0.0155006736925627,-4.60597828018317,-4.60595579682336,-0.0134622865874472,-4.6096991177048,-4.60967663434499,0.786565749391714,0.00613826504208244,0.0138751004468563
0.016,-0.0155033252327872,-4.6059763811613,-4.60595174959528,-0.013798230700427,-4.6084345842597,-4.60840995269367,0.795884139267604,0.00630642604053376,0.0136719263732772
0.017,-0.0155063029640142,-4.60597460020151,-4.60594715689662,-0.0141470524024611,-4.60704414878422,-4.60701670547932,0.805418797219512,0.00648240700172936,0.0134676527239228
0.018,-0.0155096209256677,-4.6059730100908,-4.60594207092472,-0.014500900285191,-4.60554596156378,-4.6055150223977,0.815079622398593,0.00666467188543157,0.0132643270327602
0.019,-0.0155132848259264,-4.60597167727122,-4.60593657960923,-0.0148510862228222,-4.6039667758169,-4.6039316781549,0.824770663315294,0.0068513727478258,0.0130639339474048
0.02,-0.0155172901642786,-4.60597065413142,-4.60593080520865,-0.0151885168190728,-4.60234232541236,-4.60230247648959,0.834391955732597,0.0070403640269824,0.0128683377274993
0.021,-0.0155216211084894,-4.60596997175812,-4.60592489835819,-0.0155041884571567,-4.60071711860086,-4.60067204520093,0.843841848323197,0.00722923990779735,0.0126792272870746
0.022,-0.0155262504763017,-4.60596963444555,-4.60591902743313,-0.0157897132205643,-4.59914344893713,-4.59909284192471,0.853019779977928,0.00741539804546159,0.0124980681966596
0.023,-0.0155311410788974,-4.60596961723816,-4.6059133640581,-0.0160378398830147,-4.59767941547252,-4.59762316229246,0.861829430351029,0.00759613135292876,0.0123260662353562
0.024,-0.0155362485107634,-4.60596986748075,-4.60590806665549,-0.0162429338675479,-4.59638576920582,-4.59632396838055,0.870182113932448,0.00776874714854436,0.0121641468320237
0.025,-0.0155415252247469,-4.6059703107602,-4.60590326476789,-0.016401380712652,-4.59532149722396,-4.59525445123165,0.878000228964091,0.00793070948149065,0.0120129537919879
0.026,-0.0155469254292692,-4.60597086077857,-4.6058990471362,-0.0165118768329602,-4.59453826550738,-4.59446645186501,0.885220510756764,0.00807979568741099,0.01187286868235
