time,S(t)
0,7.88939265050359
0.255983688354492,7.88467430902029
1.90599252334028,7.86831030768959
12.4457359720009,7.68221468153579
50.8236076720111,7.37412590583951
90.1475769310427,7.196607238638
126.265753512215,7.07156343850996
162.007918795071,6.95865600873426
197.633656284079,6.86826159554291
232.599740537001,6.77689265139995
269.667971344766,6.69442064939379
305.319505452222,6.6171948287625
340.789913533791,6.55022682740595
378.046084403422,6.47669439668921
415.29873691682,6.4124871560162
450.417565633656,6.35215233913148
485.479150535757,6.29340195731781
520.175747758149,6.24326987882929
555.635682485094,6.18682248521958
590.809563914487,6.13175647973441
625.809723978649,6.08472120033954
660.965204827267,6.03850029967863
695.999436079976,5.98643636828507
731.17419435329,5.94188695482635
766.052281753992,5.89827087295006
801.182382325198,5.85520397236356
836.534630875212,5.80597989993777
871.526324918423,5.76429198334576
906.53136069705,5.72318688139915
941.482294863266,5.68267050965968
976.66369538848,5.64255309461613
1011.64622413129,5.6030476655297
1046.33903119052,5.57071948955579
1081.78322228089,5.53190136907071
1116.83188737522,5.49372076130875
1151.76220098902,5.45602803772985
1186.77614646694,5.41870250386368
1221.66540334349,5.38182643891875
1256.70891582958,5.35166637605854
1291.62551081013,5.31549863989372
1326.56530901899,5.27967812861233
1361.82725221169,5.25040396229106
1396.73747520183,5.21523841989561
1431.65999780482,5.18039043892772
1466.41418888415,5.15220994553563
1501.50217942211,5.11788736326864
1536.41771534288,5.08392002982919
1571.08729995562,5.05657896086297
1606.38494566228,5.02301357451683
1641.40060082813,4.99602442588976
1676.18889420338,4.96316393467006
1711.1837465772,4.93664793061667
1745.99026453431,4.90427277617164
1781.02877301397,4.87817833790655
1815.73159192805,4.84630277196382
1850.58732669615,4.82070401669738
1885.76724958903,4.78910527249941
1920.59623703366,4.76390633310721
1955.38058580273,4.73286277965404
1990.11121806069,4.70808145295592
2025.06979942122,4.67738727214353
2059.85241262125,4.65294941906903
2094.50868344257,4.62873565492507
2129.6262430465,4.59856457159186
2164.57584434451,4.57458541264305
2199.33590866096,4.54489829135791
2234.24959846689,4.52126576121266
2268.98945804029,4.49784175530311
2303.95414148151,4.46860904166963
2338.46589010017,4.44556282087409
2373.32251914601,4.41670631458372
2408.42960502965,4.39378713447261
2443.24690095674,4.37109214572199
2478.00707588854,4.34273655677682
2512.65666036732,4.32037332699917
2547.65430332991,4.29804819631934
2582.36207466311,4.27015498199057
2616.88851689607,4.2482347018412
2652.09642108172,4.22625600584933
2686.97411060361,4.19875643700643
2721.66621733319,4.1771727328725
2756.50743562921,4.15566876801415
2791.2220715903,4.1286321265904
2826.107036257,4.10736332690934
2860.72782624858,4.0862812195631
2895.54247520321,4.06527067363554
