Z,mus,mup,mum,Fs,Fp,Fm,phis,phip,phim
0,7.01612864435424e-05,-9.20986515660163,-9.21038138362671,7.02162737876433e-05,-9.209865564955,-9.21038179198007,0.881324168744399,2.03300700479856e-06,0.00456633167014292
0.001,7.01613924733885e-05,-9.20986515660029,-9.21038138364788,7.02163795873179e-05,-9.20986556495195,-9.21038179199954,0.881324179292277,2.03300720136899e-06,0.00456633126463677
0.002,7.01617105660242e-05,-9.20986515656589,-9.21038138371139,7.02166969856616e-05,-9.20986556491239,-9.21038179205789,0.881324210935822,2.03300779114074e-06,0.00456633004812176
0.003,7.01622407182404e-05,-9.20986515649843,-9.21038138381722,7.02172259808148e-05,-9.20986556483633,-9.21038179215513,0.881324263674767,2.03300877410942e-06,0.00456632802060814
0.004,7.01629829291082e-05,-9.20986515639791,-9.21038138396539,7.02179665699604e-05,-9.20986556472377,-9.21038179229125,0.881324337508669,2.03301015026781e-06,0.00456632518211297
0.005,7.01639371930109e-05,-9.20986515626434,-9.21038138415587,7.02189187491015e-05,-9.20986556457472,-9.21038179246626,0.881324432436906,2.03301191960575e-06,0.00456632153266017
0.006,7.01651035052335e-05,-9.20986515609773,-9.2103813843887,7.02200825127147e-05,-9.20986556438919,-9.21038179268016,0.881324548458678,2.03301408211007e-06,0.00456631707228049
0.007,7.01664818594125e-05,-9.20986515589805,-9.21038138466385,7.02214578547078e-05,-9.20986556416714,-9.21038179293294,0.881324685573006,2.03301663776498e-06,0.00456631180101153
0.008,7.01680722470962e-05,-9.20986515566535,-9.21038138498133,7.02230447671703e-05,-9.20986556390863,-9.21038179322461,0.881324843778737,2.03301958655146e-06,0.00456630571889771
0.009,7.01698746608828e-05,-9.20986515539961,-9.21038138534113,7.0224843241623e-05,-9.20986556361364,-9.21038179355516,0.881325023074535,2.03302292844778e-06,0.0045662988259903
0.01,7.01718890890898e-05,-9.2098651551008,-9.21038138574326,7.02268532680045e-05,-9.20986556328213,-9.21038179392459,0.88132522345889,2.03302666342933e-06,0.0045662911223474
0.011,7.01741155212972e-05,-9.20986515476896,-9.21038138618769,7.02290748350876e-05,-9.20986556291417,-9.2103817943329,0.881325444930113,2.03303079146843e-06,0.00456628260803393
0.012,7.01765539438514e-05,-9.20986515440406,-9.21038138667445,7.02315079308402e-05,-9.20986556250971,-9.2103817947801,0.881325687486338,2.03303531253465e-06,0.00456627328312166
0.013,7.01792043455917e-05,-9.20986515400616,-9.21038138720353,7.02341525416761e-05,-9.2098655620688,-9.21038179526617,0.88132595112552,2.03304022659458e-06,0.00456626314768915
0.014,7.01820667099512e-05,-9.20986515357519,-9.21038138777492,7.023700865319e-05,-9.20986556159139,-9.21038179579112,0.881326235845439,2.03304553361199e-06,0.00456625220182183
0.015,7.01851410216934e-05,-9.20986515311118,-9.21038138838862,7.02400762493394e-05,-9.20986556107751,-9.21038179635495,0.881326541643695,2.0330512335477e-06,0.00456624044561191
0.016,7.01884272639531e-05,-9.20986515261414,-9.21038138904463,7.02433553132625e-05,-9.20986556052716,-9.21038179695765,0.881326868517712,2.03305732635961e-06,0.00456622787915848
0.017,7.01919254190524e-05,-9.20986515208408,-9.21038138974293,7.02468458270156e-05,-9.20986555994036,-9.2103817975992,0.881327216464736,2.03306381200275e-06,0.00456621450256739
