time,S(t),h(t)
0,8.02349119984579,8.02349119984579
1.90599252334028,7.97148331691231,7.97148331691231
29.1746366802732,7.48327439809965,7.72267739741966
89.0128610761947,7.07272604428356,7.47645459226592
155.21841689955,6.76864146970218,7.29379468717907
222.036508444078,6.51786631080228,7.14678323552881
289.972414647636,6.3030235238265,7.01895715348162
357.649975630418,6.11181803867903,6.90600908325314
425.198682704385,5.93952556417939,6.80358025679197
490.960157801316,5.78530912456446,6.7114955041351
556.931476986451,5.63801128704769,6.62516014929223
622.645307920278,5.50361245044606,6.54412895415703
688.505710986831,5.37418259252345,6.46712706681523
754.638504845729,5.24903776791781,6.39346865763436
820.409927242577,5.13454691527474,6.32333363950091
886.322006624672,5.01718349995073,6.25583977549966
951.873638131825,4.90957951294272,6.1911469267878
1018.04228912682,4.80443775250803,6.12810937819901
1083.72206185653,4.70231652702347,6.06750519615932
1149.51158130829,4.60261265943005,6.00863271466064
1214.99400567502,4.50541804334644,5.95167509028592
1280.90916161732,4.41602066467021,5.89588873787745
1346.40220979421,4.32296456441496,5.84184400596616
1412.12753439688,4.23170789886134,5.78893009420156
1477.62217230587,4.14814920677747,5.73741245750688
1543.36009421968,4.06040595115451,5.68684306884385
1608.83977731586,3.98009232969927,5.63752454631625
1674.29267509155,3.89567866869715,5.58920899382661
1739.91345762392,3.8182551914221,5.54173467550378
1805.46020691139,3.74221985525433,5.49518334104895
1870.89998539369,3.66209469975711,5.44954568416237
1936.05862615224,3.58883471030994,5.40487155167159
2001.94268314898,3.51648947025974,5.3605022412496
2067.33138718913,3.4401963823019,5.31715051360418
2132.76751305098,3.37037487237018,5.2744520694369
2197.93462460419,3.30175187675948,5.23257032766955
2263.59716538206,3.22880586131402,5.19100620790036
2328.80353605149,3.16228395035945,5.1502995934193
2394.17833652875,3.0915890597729,5.11006456160811
2459.55266087447,3.02702260388879,5.07038962125426
2524.99736350823,2.96336876314006,5.03118635507651
2590.17312702445,2.89572716435832,4.99263304199711
2655.43596821634,2.83398304765027,4.95451581757041
2720.97842843336,2.76811844520324,4.91672903233257
2786.22342395204,2.70814073326157,4.87953285272355
2851.44985105073,2.64415576379423,4.84277612416525
2916.51524876827,2.58591286732716,4.80652949317316
2982.10205155215,2.52355427195247,4.77042395454152
3047.25456197043,2.46215624527864,4.73491585630508
3112.57854722075,2.40625082470717,4.6997086420062
3177.57201942922,2.34651193595534,4.66503366989133
3243.01031553234,2.28745793941997,4.63048165874488
3308.14298146711,2.23386451273194,4.59642903854309
3373.39151824416,2.17638502202185,4.56265203778166
3438.52959043471,2.11969620381029,4.52926539275702
3503.80880109259,2.06371384074377,4.4961085854984
3568.87448479054,2.00851483168229,4.46336629262731
3634.01709472278,1.95401790614302,4.43087960576649
3699.38565069337,1.90019077899503,4.39858976619219
3766.14597159048,1.84663564733327,4.36556890622523
3831.41683800999,1.79411101672421,4.33360148967201
3896.38084325789,1.73806481752444,4.30214063743672
3961.85661702649,1.68692661698753,4.27070029617096
4028.27861936814,1.63641125657046,4.23940740044162
4094.96734888834,1.58212077436975,4.20776801694084
4162.11541357138,1.5285461022446,4.17635547061365
4230.72606509209,1.47557048208646,4.14486090473725
4297.93795954305,1.42759855057418,4.11411686044433
4365.53651945372,1.37604860039474,4.08323026823364
4435.51621224998,1.32481345063997,4.05141728024455
4505.72407706822,1.27429525269405,4.01985884130616
4575.84986722094,1.22455841895963,3.98878963830498
4644.33583813873,1.17572406332404,3.95866687987891
4715.12334577682,1.12722097257112,3.92759920756488
4785.19691168852,1.07952760026427,3.89721155330061
4855.95847694376,1.03235261952339,3.86648921169811
4927.72617095219,0.98575597680718,3.83562636889953
5000.94486381969,0.939716600147849,3.80452064837186
5074.81954664299,0.894242244554018,3.77317402765408
5148.78731282605,0.849439676648795,3.74202500726341
5223.93165500761,0.801486352771308,3.71058496653384
5297.68201427671,0.758083497823696,3.68001697972668
5371.84624196536,0.711609124873416,3.64927756345341
5445.44898444807,0.669541078429285,3.61914096448262
5517.87171977559,0.624553709877064,3.58938913722451
5589.05251523011,0.583892716255922,3.56032144058489
5660.21468969681,0.540318052353475,3.53149053825801
5732.54337705379,0.500830045444523,3.50230801010156
5804.47020616689,0.458503001856286,3.47350758982035
5875.99317239748,0.416823922735461,3.44482580773109
5947.38198502508,0.375816666054007,3.41651514594552
6017.72188329989,0.335478000575729,3.38866667248211
6090.71215360771,0.29229175892153,3.35967538990265
6161.52566104341,0.249875082226508,3.3316677630201
6226.57210636888,0.20496851698723,3.30594382237468
6291.2882333165,0.0623253701124854,3.28028263749923
6356.26362465761,0,3.25399461215537
6430.10784537754,0,3.22278070292629
6548.57497853621,0,3.17094934842449
6678.78542489219,0,3.11894105138563
6810.27246097902,0,3.07643092694515
6940.88794673014,0,3.04454745996767
7000.90047521296,0,3.03300278720626
7071.01357995804,0,3.0216483169573
7201.33084148431,0,3.00571029998287
7329.84511452588,0,2.99500930378544
7460.0042939371,0,2.98778509885224
7589.30402279613,0,2.98305139100739
7718.39132111665,0,2.97995900017785
7848.87636588843,0,2.97793228388999
7977.83450418042,0,2.97663116356047
8000.86326344034,0,2.9764514744797
