Z,mus,mup,mum,Fs,Fp,Fm,phis,phip,phim
0.047,-1.10686469610526e-05,-9.20966627142338,-9.21035861088576,-1.15486188327629e-05,-9.20965667558616,-9.21035866911472,0.870890152526537,1.85434357351716e-06,0.00496747506612413
0.048,-1.10598368077545e-05,-9.20966627010021,-9.21035861264449,-1.15406863162859e-05,-9.20965667505404,-9.21035867132992,0.870891717183891,1.85436830475198e-06,0.00496741490982395
0.049,-1.10508357865921e-05,-9.20966626874825,-9.21035861444133,-1.15325813478118e-05,-9.20965667450932,-9.21035867359241,0.870893315549112,1.85439356938739e-06,0.00496735345755974
0.05,-1.1041643559831e-05,-9.20966626736747,-9.21035861627632,-1.15243035869184e-05,-9.20965667395193,-9.21035867590222,0.870894947669776,1.85441936821439e-06,0.00496729070750234
0.051,-1.10322597834393e-05,-9.20966626595781,-9.21035861814957,-1.15158526867443e-05,-9.20965667338181,-9.21035867825939,0.8708966135944,1.85444570203968e-06,0.00496722665778649
0.052,-1.10226841090708e-05,-9.20966626451922,-9.21035862006112,-1.15072282929896e-05,-9.20965667279885,-9.21035868066398,0.870898313372435,1.85447257168565e-06,0.00496716130651098
0.053,-1.10129161785987e-05,-9.20966626305169,-9.21035862201105,-1.14984300448873e-05,-9.20965667220301,-9.21035868311601,0.870900047054266,1.85449997799031e-06,0.00496709465173868
0.054,-1.1002955630451e-05,-9.20966626155515,-9.21035862399943,-1.14894575741209e-05,-9.20965667159419,-9.21035868561554,0.87090181469121,1.8545279218074e-06,0.00496702669149667
0.055,-1.09928020918074e-05,-9.20966626002958,-9.21035862602634,-1.14803105062122e-05,-9.20965667097232,-9.21035868816261,0.870903616335511,1.85455640400616e-06,0.00496695742377636
0.056,-1.09824551870724e-05,-9.2096662584749,-9.21035862809184,-1.14709884592445e-05,-9.20965667033732,-9.21035869075725,0.870905452040338,1.85458542547146e-06,0.00496688684653358
0.057,-1.09719145314018e-05,-9.20966625689108,-9.21035863019602,-1.14614910443345e-05,-9.2096566696891,-9.21035869339953,0.870907321859784,1.85461498710365e-06,0.0049668149576887
