time,S(t),h(t)
0,8.02349119984579,8.02349119984579
1.90599252334028,8.01720366144294,8.01720366144294
75.419614016779,7.93332523368951,7.93332523368951
275.419614016779,7.39386508293289,7.70997401765682
475.419614016779,7.1553280506092,7.57979666378094
675.419614016779,6.96419040787639,7.48033341340106
875.419614016779,6.81237116401719,7.39671136158219
1075.41961401678,6.67141494541453,7.32317776664602
1275.41961401678,6.55288090743774,7.25678948774944
1475.41961401678,6.4402431431274,7.19580239455576
1675.41961401678,6.33236638795057,7.13908273726107
1875.41961401678,6.23554334026961,7.08584470485183
2075.41961401678,6.14200656845963,7.0355172605494
2275.41961401678,6.05132227087093,6.98767005874241
2475.41961401678,5.97009357358572,6.9419692716113
2675.41961401678,5.88412069736653,6.89814853149652
2875.41961401678,5.80702518157263,6.85599194990866
3075.41961401678,5.73168934444616,6.8153262121833
3275.41961401678,5.65796264161899,6.77600316361555
3475.41961401678,5.59245532120338,6.73789797735347
3675.41961401678,5.52154493064665,6.70090404204691
3875.41961401678,5.45191228396667,6.66492944250205
4075.41961401678,5.39010404234412,6.62989427102598
4275.41961401678,5.32934866045356,6.5957285401653
4475.41961401678,5.26302117312383,6.56237054005465
4675.41961401678,5.20422312727588,6.52976552983172
4875.41961401678,5.1463088294735,6.49786468367866
5075.41961401678,5.08923327172404,6.46662423344859
5275.41961401678,5.03295572611795,6.43600476485671
5475.41961401678,4.97743918330052,6.4059706348784
5675.41961401678,4.922649883001,6.37648948575259
5875.41961401678,4.86855691871546,6.3475318366564
6075.41961401678,4.81513190261442,6.31907073833914
6275.41961401678,4.76234867972805,6.29108147916519
6475.41961401678,4.71018308275138,6.26354133344598
6675.41961401678,4.66484914989008,6.23642934477283
6875.41961401678,4.61382652091805,6.20972613851688
7075.41961401678,4.56335935397352,6.18341375877171
7275.41961401678,4.51342956048866,6.1574755259054
7475.41961401678,4.47015211954799,6.13189591158847
7675.41961401678,4.42122215039207,6.10666042871833
7875.41961401678,4.37886398456146,6.08175553411314
8075.41961401678,4.33087550767751,6.05716854220631
8275.41961401678,4.28335015926895,6.03288754826613
8475.41961401678,4.24228436009011,6.008901359901
8675.41961401678,4.19562480449951,5.9851994358053
8875.41961401678,4.15535496610927,5.96177183085978
9075.41961401678,4.1095175296069,5.93860914683078
9275.41961401678,4.07000331175657,5.91570248801828
9475.41961401678,4.03084170016736,5.89304342129731
9675.41961401678,3.98615365530405,5.87062394006487
9875.41961401678,3.94769459137966,5.84843643167356
10001.4196140168,3.92083381598053,5.83457413092341
10075.4196140168,3.90373734414767,5.8264736479816
10275.4196140168,3.86594930000967,5.8047286786932
10475.4196140168,3.82847504180917,5.78319492720418
10675.4196140168,3.78554602027378,5.76186608869677
10875.4196140168,3.748700693058,5.74073613025728
11075.4196140168,3.71214972805792,5.71979927281652
11275.4196140168,3.67588723369941,5.69904997472777
11475.4196140168,3.63422906676867,5.67848291682605
11675.4196140168,3.59854714088903,5.65809298881923
11875.4196140168,3.56313717498868,5.63787527688082
12075.4196140168,3.52799413286497,5.61782505233275
12275.4196140168,3.49311316305391,5.59793776130434
12475.4196140168,3.45291138045985,5.57820901528247
12675.4196140168,3.41856026821314,5.5586345824604
12875.4196140168,3.3844575420678,5.53921037981636
13075.4196140168,3.35059900676812,5.51993246584533
13275.4196140168,3.31698061143759,5.50079703389318
13475.4196140168,3.28359844321065,5.4818004060278
13675.4196140168,3.25044872130429,5.46293902740218
13875.4196140168,3.21752779148968,5.44420946106545
14075.4196140168,3.18483212092526,5.42560838317762
14275.4196140168,3.15235829331897,5.40713257859172
14475.4196140168,3.12010300439111,5.3887789367722
14675.4196140168,3.0880630576072,5.37054444801253
14875.4196140168,3.05623536015996,5.35242619992988
15075.4196140168,3.02461691917419,5.33442137420492
15275.4196140168,2.99320483811587,5.31652724354506
15475.4196140168,2.96199631338606,5.29874116884805
15675.4196140168,2.9309886310812,5.28106059654269
15875.4196140168,2.90017916390607,5.26348305609087
16075.4196140168,2.86956536822235,5.24600615762769
16275.4196140168,2.84437340881156,5.22862758972714
16475.4196140168,2.81412636332813,5.21134511727432
16675.4196140168,2.7840679265753,5.19415657943153
16875.4196140168,2.75419586024877,5.17705988768566
17075.4196140168,2.72450799665066,5.16005302395959
17275.4196140168,2.6950022363226,5.14313403878359
17475.4196140168,2.66567654574695,5.12630104951337
17675.4196140168,2.64163850734809,5.10955223858431
17875.4196140168,2.61265044197116,5.09288585179564
18075.4196140168,2.58383680007982,5.07630019662047
18275.4196140168,2.55519578846755,5.05979364052979
18475.4196140168,2.52672566927672,5.04336460933476
18675.4196140168,2.50345176959441,5.02701158553093
18875.4196140168,2.47530215468719,5.01073310665424
19075.4196140168,2.447318604183,4.99452776363877
19275.4196140168,2.41949958080049,4.97839419917795
19475.4196140168,2.39680592423986,4.96233110608666
19675.4196140168,2.36929553109427,4.94633722566653
19875.4196140168,2.34194538938504,4.93041134607377
20075.4196140168,2.31475413362529,4.91455230069064
20275.4196140168,2.28772043735716,4.89875896650356
20475.4196140168,2.26572604179391,4.88303026248688
20675.4196140168,2.23898796807899,4.86736514799781
20875.4196140168,2.21240375525961,4.85176262118335
21075.4196140168,2.18597221626607,4.83622171740281
21275.4196140168,2.15969219543564,4.82074150766884
21475.4196140168,2.13356256711524,4.80532109710639
21675.4196140168,2.11237219393742,4.78995962344085
21875.4196140168,2.08652478365718,4.77465625550842
22075.4196140168,2.06082461304919,4.75941019179952
22275.4196140168,2.03527066272581,4.74422065903453
22475.4196140168,2.00986193707824,4.72908691077232
