time,h(t)
0,8.02349119984579
0.199,8.00897388913855
0.399,7.99558490243715
0.599,7.9841711652493
0.799000000000001,7.97421956146645
0.999000000000001,7.96537871750243
1.19899999999998,7.9574010170527
1.43474999999997,7.94886889930773
1.73318749999995,7.93911957182201
2.11287499999995,7.92799741649222
2.60640527343745,7.91509669645722
3.24727441406245,7.90016161967607
4.07601739501948,7.88284457496999
5.15247727966304,7.86244214892215
6.5546765480041,7.83798676793039
8.45923121309275,7.80706905140556
11.260292995613,7.76466677769248
16.0313086145201,7.69855059313575
20.9210343321663,7.6371995905391
26.0920235990856,7.57849184010067
31.3356137984659,7.52467308563404
36.6225655913059,7.47532243999649
42.1867135381924,7.42716855775332
47.8712601547793,7.37929105444058
53.6577722342469,7.32807981387385
58.6892147358724,7.28762724464328
63.9290624084683,7.25393253913631
69.9088763276199,7.21865462657204
75.736712436544,7.18493273620557
81.8129387278293,7.15006227313192
87.7967508486722,7.11584752408961
93.5592853891774,7.08229116782813
98.9655974592271,7.04798304718377
104.48872065862,7.00836918167478
109.48672596645,6.97980467525979
115.096665996952,6.95336987871615
121.038813166742,6.92687637208277
126.803192037319,6.90156384897604
132.490908952303,6.87676903280736
138.678339832662,6.84990700537069
144.70318366466,6.82389433020121
150.915242767666,6.79714686735432
156.667313278318,6.77239331401793
162.564562855491,6.74675973661455
168.433391949014,6.72059121386464
174.216273981032,6.69355697324457
180.083712213781,6.6661874848216
185.509697236105,6.64354659190355
191.273963766471,6.62180027792975
197.518525949455,6.59922995488742
204.192467550121,6.57539679623464
210.68713365586,6.55233106541448
217.349662980035,6.52877969406728
223.844873762267,6.50589562023653
230.158801728857,6.48371392495318
236.054794625144,6.46298331186193
241.812532518638,6.44268686685957
247.780464390978,6.42137020744165
254.125562290818,6.39811206726306
260.057748393146,6.37551274636968
265.742778376909,6.35395681717273
271.33828981471,6.33437954341939
277.120524351194,6.31585193823839
283.142110308629,6.29743539113414
289.599841696429,6.27800122966727
295.588840126253,6.26007538718062
301.694573408221,6.24186627344588
307.764034384408,6.22382464564171
313.824970860295,6.20586857281489
319.694449466644,6.1885042442821
325.580766203036,6.1711307142093
331.45758213897,6.15378501614398
337.567738611822,6.13568827301771
