Z,mus,mup,mum,Fs,Fp,Fm,phis,phip,phim
0.024,9.45678818650699e-05,-9.20990069757493,-9.21039123367982,9.45340227527375e-05,-9.20990056929907,-9.21039119624311,0.883627301667526,2.07667552112536e-06,0.00447778994403773
0.025,9.45678359174321e-05,-9.20990069758277,-9.21039123367066,9.45335104762246e-05,-9.20990056576645,-9.21039119269341,0.883627265248109,2.07667482706674e-06,0.00447779134414388
0.026,9.45677880367101e-05,-9.20990069759094,-9.21039123366109,9.45329674419543e-05,-9.20990056201549,-9.2103911889246,0.883627226656114,2.07667409163039e-06,0.0044777928277725
0.027,9.45677382148633e-05,-9.20990069759946,-9.21039123365114,9.45323923304542e-05,-9.20990055803623,-9.21039118492675,0.883627185799548,2.07667331306654e-06,0.00447779439846021
0.028,9.45676864412731e-05,-9.20990069760833,-9.2103912336408,9.45317837417747e-05,-9.2099005538181,-9.2103911806893,0.88362714258081,2.07667248951879e-06,0.00447779605995918
0.029,9.45676327104546e-05,-9.20990069761754,-9.21039123363008,9.45311401920612e-05,-9.20990054934997,-9.21039117620109,0.88362709689643,2.07667161901935e-06,0.00447779781624716
0.03,9.45675770105222e-05,-9.2099006976271,-9.21039123361895,9.45304601095986e-05,-9.20990054461995,-9.21039117145026,0.883627048636799,2.07667069948345e-06,0.00447779967153803
0.031,9.45675193306803e-05,-9.20990069763701,-9.21039123360744,9.45297418307456e-05,-9.20990053961556,-9.21039116642426,0.883626997685869,2.07666972870391e-06,0.00447780163029306
0.032,9.45674596624188e-05,-9.20990069764727,-9.21039123359552,9.45289835951463e-05,-9.20990053432349,-9.21039116110984,0.883626943920853,2.07666870434545e-06,0.00447780369723273
0.033,9.45673979949311e-05,-9.20990069765793,-9.21039123358321,9.45281835417894e-05,-9.20990052872978,-9.21039115549296,0.883626887211891,2.07666762393815e-06,0.00447780587734937
0.034,9.45673343120926e-05,-9.20990069766891,-9.21039123357049,9.45273397031793e-05,-9.20990052281959,-9.21039114955881,0.883626827421708,2.07666648487123e-06,0.00447780817592035
0.035,9.45672686078629e-05,-9.20990069768029,-9.21039123355738,9.45264500008952e-05,-9.20990051657724,-9.21039114329174,0.883626764405248,2.07666528438583e-06,0.00447781059852222
0.036,9.456720086519e-05,-9.20990069769201,-9.21039123354384,9.45255122399152e-05,-9.20990050998622,-9.21039113667519,0.883626698009286,2.07666401956786e-06,0.00447781315104551
0.037,9.45671310721958e-05,-9.20990069770413,-9.21039123352991,9.45245241024684e-05,-9.20990050302902,-9.21039112969169,0.883626628072025,2.07666268733996e-06,0.00447781583971043
0.038,9.45670592114548e-05,-9.20990069771655,-9.21039123351556,9.4523483142428e-05,-9.20990049568732,-9.21039112232283,0.883626554422658,2.07666128445379e-06,0.00447781867108341
0.039,9.45669852731479e-05,-9.20990069772939,-9.2103912335008,9.45223867784978e-05,-9.20990048794159,-9.21039111454914,0.88362647688092,2.07665980748078e-06,0.0044778216520946
0.04,9.45669092349548e-05,-9.20990069774261,-9.21039123348561,9.45212322872868e-05,-9.20990047977136,-9.21039110635009,0.883626395256604,2.07665825280346e-06,0.0044778247900563
0.041,9.45668310818681e-05,-9.20990069775622,-9.21039123347001,9.45200167965787e-05,-9.20990047115497,-9.21039109770404,0.883626309349055,2.07665661660562e-06,0.00447782809268243
0.042,9.45667507940268e-05,-9.20990069777026,-9.21039123345397,9.45187372775741e-05,-9.20990046206963,-9.2103910885882,0.883626218946641,2.07665489486223e-06,0.00447783156810907
0.043,9.45666683535923e-05,-9.20990069778463,-9.21039123343751,9.45173905362862e-05,-9.20990045249128,-9.21039107897846,0.883626123826182,2.07665308332902e-06,0.00447783522491606
0.044,9.45665837393983e-05,-9.20990069779945,-9.21039123342061,9.45159732061163e-05,-9.20990044239454,-9.21039106884949,0.883626023752364,2.07665117753048e-06,0.00447783907214989
0.045,9.45664969352339e-05,-9.20990069781468,-9.21039123340326,9.45144817382365e-05,-9.20990043175273,-9.21039105817449,0.883625918477104,2.07664917274876e-06,0.00447784311934778
0.046,9.45664079116697e-05,-9.20990069783031,-9.21039123338548,9.4512912392708e-05,-9.2099004205376,-9.21039104692534,0.883625807738897,2.07664706401035e-06,0.00447784737656304
0.047,9.456631664933e-05,-9.20990069784637,-9.21039123336726,9.45112612278504e-05,-9.20990040871956,-9.21039103507234,0.883625691262118,2.07664484607347e-06,0.00447785185439184
0.048,9.4566223119706e-05,-9.20990069786284,-9.21039123334857,9.45095240907079e-05,-9.2099003962673,-9.21039102258413,0.883625568756285,2.07664251341386e-06,0.00447785656400141
0.049,9.45661272985846e-05,-9.20990069787972,-9.21039123332944,9.45076966057529e-05,-9.2099003831478,-9.21039100942782,0.883625439915292,2.07664006021005e-06,0.00447786151715974
0.05,9.45660291596354e-05,-9.2099006978971,-9.21039123330984,9.45057741629091e-05,-9.20990036932644,-9.21039099556861,0.883625304416588,2.07663748032788e-06,0.0044778667262669
0.051,9.45659286711465e-05,-9.20990069791488,-9.21039123328976,9.45037519062691e-05,-9.2099003547666,-9.21039098096993,0.883625161920326,2.07663476730445e-06,0.00447787220438805
0.052,9.45658258058526e-05,-9.20990069793315,-9.21039123326922,9.45016247203279e-05,-9.20990033942974,-9.21039096559325,0.88362501206845,2.0766319143305e-06,0.00447787796528824
0.053,9.45657205260489e-05,-9.20990069795182,-9.2103912332482,9.44993872172006e-05,-9.20990032327527,-9.21039094939796,0.883624854483749,2.07662891423262e-06,0.00447788402346896
0.054,9.45656128043128e-05,-9.20990069797104,-9.21039123322668,9.44970337220935e-05,-9.20990030626052,-9.21039093234133,0.883624688768849,2.07662575945401e-06,0.00447789039420682
0.055,9.45655025998757e-05,-9.20990069799072,-9.21039123320466,9.44945582583567e-05,-9.20990028834044,-9.2103909143783,0.883624514505161,2.07662244203444e-06,0.00447789709359414
0.056,9.4565389875954e-05,-9.20990069801087,-9.21039123318214,9.4491954531678e-05,-9.20990026946763,-9.21039089546144,0.88362433125176,2.07661895358919e-06,0.00447790413858177
0.057,9.45652745943426e-05,-9.20990069803155,-9.21039123315913,9.44892159137484e-05,-9.20990024959217,-9.21039087554081,0.883624138544217,2.07661528528647e-06,0.00447791154702423
0.058,9.45651567103556e-05,-9.20990069805271,-9.21039123313558,9.44863354242903e-05,-9.2099002286615,-9.21039085456384,0.883623935893362,2.07661142782429e-06,0.00447791933772716
0.059,9.4565036181549e-05,-9.20990069807447,-9.21039123311149,9.44833057132943e-05,-9.20990020662029,-9.21039083247512,0.883623722783981,2.07660737140534e-06,0.0044779275304974
0.06,9.45649129598692e-05,-9.20990069809673,-9.21039123308688,9.44801190410904e-05,-9.2099001834102,-9.21039080921637,0.88362349867345,2.07660310571138e-06,0.00447793614619566
0.061,9.45647869963717e-05,-9.20990069811957,-9.21039123306173,9.44767672583502e-05,-9.20990015896989,-9.21039078472616,0.883623262990285,2.07659861987542e-06,0.00447794520679199
0.062,9.45646582387803e-05,-9.20990069814297,-9.210391233036,9.4473241784146e-05,-9.20990013323474,-9.21039075893986,0.883623015132628,2.07659390245317e-06,0.00447795473542427
0.063,9.45645266352255e-05,-9.20990069816695,-9.21039123300972,9.44695335838158e-05,-9.20990010613675,-9.2103907317894,0.883622754466641,2.07658894139244e-06,0.0044779647564597
0.064,9.45643921290685e-05,-9.20990069819158,-9.21039123298284,9.44656331451632e-05,-9.2099000776043,-9.21039070320309,0.883622480324824,2.07658372400103e-06,0.00447797529555968
0.065,9.4564254656745e-05,-9.20990069821679,-9.2103912329554,9.44615304529911e-05,-9.20990004756194,-9.21039067310552,0.883622192004237,2.07657823691315e-06,0.00447798637974805
0.066,9.45641141559248e-05,-9.20990069824266,-9.21039123292731,9.4457214962998e-05,-9.20990001593025,-9.2103906414172,0.88362188876463,2.07657246605387e-06,0.0044779980374829
0.067,9.4563970557184e-05,-9.20990069826918,-9.21039123289863,9.44526755741609e-05,-9.20989998262568,-9.21039060805455,0.883621569826477,2.07656639660163e-06,0.00447801029873236
0.068,9.45638237907559e-05,-9.20990069829639,-9.2103912328693,9.4447900599412e-05,-9.2098999475602,-9.21039057292948,0.883621234368903,2.07656001294911e-06,0.00447802319505415
0.069,9.45636737859566e-05,-9.20990069832432,-9.21039123283932,9.44428777345935e-05,-9.20989991064122,-9.21039053594934,0.883620881527498,2.07655329866164e-06,0.0044780367596796
0.07,9.4563520464094e-05,-9.20990069835299,-9.2103912328087,9.44375940267472e-05,-9.20989987177114,-9.21039049701653,0.883620510392023,2.07654623643342e-06,0.00447805102760199
0.071,9.45633637377368e-05,-9.20990069838241,-9.21039123277739,9.44320358394896e-05,-9.20989983084735,-9.21039045602831,0.883620120003984,2.07653880804169e-06,0.00447806603566959
0.072,9.45632035229443e-05,-9.20990069841263,-9.21039123274536,9.44261888174563e-05,-9.20989978776177,-9.21039041287657,0.88361970935409,2.07653099429845e-06,0.00447808182268358
0.073,9.45630397324482e-05,-9.20990069844363,-9.21039123271265,9.44200378485416e-05,-9.20989974240059,-9.21039036744744,0.883619277379567,2.07652277499954e-06,0.00447809842950125
0.074,9.45628722638907e-05,-9.20990069847545,-9.21039123267918,9.44135670243734e-05,-9.20989969464406,-9.21039031962109,0.883618822961334,2.07651412887058e-06,0.00447811589914458
0.075,9.45627010190834e-05,-9.20990069850822,-9.21039123264496,9.44067595982229e-05,-9.20989964436609,-9.21039026927141,0.883618344921025,2.07650503351089e-06,0.0044781342769146
0.076,9.45625258898793e-05,-9.20990069854182,-9.21039123260995,9.43995979411222e-05,-9.209899591434,-9.21039021626557,0.883617842017863,2.07649546533437e-06,0.00447815361051173
0.077,9.45623467652554e-05,-9.20990069857642,-9.21039123257416,9.43920634960266e-05,-9.2098995357081,-9.21039016046384,0.88361731294536,2.07648539950602e-06,0.00447817395016261
0.078,9.45621635250757e-05,-9.20990069861198,-9.21039123253754,9.43841367289089e-05,-9.20989947704132,-9.21039010171904,0.883616756327846,2.07647480987705e-06,0.00447819534875352
0.079,9.45619760472529e-05,-9.20990069864857,-9.21039123250006,9.43757970773007e-05,-9.20989941527885,-9.21039003987635,0.883616170716812,2.07646366891497e-06,0.00447821786197085
0.08,9.45617842008973e-05,-9.20990069868625,-9.21039123246174,9.43670228969878e-05,-9.20989935025784,-9.21038997477271,0.883615554587066,2.07645194763063e-06,0.00447824154844913
