Z,mus,mup,mum,Fs,Fp,Fm,phis,phip,phim
0,-0.000385423054362667,-6.90636110082993,-6.9080624744545,-0.000385107595963385,-6.90640025147054,-6.90806685055395,0.870163356038201,0.000178576767248575,0.00515855716829865
0.001,-0.000385422899104604,-6.90636110091334,-6.90806247448744,-0.000385107442740951,-6.90640025183752,-6.90806685092202,0.8701634296222,0.000178576872090667,0.00515855443492215
0.002,-0.000385422432700158,-6.9063611011211,-6.90806247458488,-0.00038510698303923,-6.9064002529081,-6.90806685202276,0.870163650388257,0.000178577186646607,0.00515854623427927
0.003,-0.000385421654965535,-6.90636110145311,-6.90806247474686,-0.00038510621671925,-6.90640025468207,-6.90806685385598,0.870164018378388,0.000178577710978315,0.00515853256481123
0.004,-0.000385420565580967,-6.9063611019094,-6.90806247497346,-0.000385105143549697,-6.90640025715906,-6.90806685642144,0.87016453366255,0.000178578445188899,0.00515851342392246
0.005,-0.00038541916410534,-6.9063611024899,-6.90806247526475,-0.000385103763206524,-6.90640026033857,-6.90806685971875,0.870165196338629,0.000178579389422639,0.00515848880798131
0.006,-0.000385417449969974,-6.90636110319461,-6.90806247562084,-0.000385102075272981,-6.90640026421999,-6.90806686374739,0.870166006532413,0.000178580543864939,0.00515845871232096
0.007,-0.000385415422483238,-6.90636110402337,-6.90806247604184,-0.000385100079240114,-6.90640026880253,-6.90806686850678,0.870166964397558,0.000178581908742313,0.00515842313124067
0.008,-0.000385413080817817,-6.9063611049762,-6.90806247652793,-0.000385097774506071,-6.90640027408528,-6.90806687399621,0.870168070115549,0.000178583484322313,0.00515838205800718
0.009,-0.000385410424029632,-6.90636110605294,-6.90806247707929,-0.000385095160376603,-6.90640028006719,-6.90806688021484,0.870169323895654,0.000178585270913475,0.00515833548485652
0.01,-0.000385407451041925,-6.90636110725352,-6.9080624776961,-0.000385092236065115,-6.90640028674702,-6.90806688716174,0.87017072597487,0.000178587268865262,0.00515828340299602
0.011,-0.000385404160654435,-6.90636110857783,-6.9080624783786,-0.000385089000691924,-6.90640029412345,-6.90806689483586,0.87017227661786,0.000178589478567967,0.0051582258026066
0.012,-0.000385400551536675,-6.90636111002574,-6.90806247912703,-0.000385085453285194,-6.906400302195,-6.90806690323602,0.870173976116885,0.000178591900452648,0.00515816267284531
0.013,-0.000385396622234229,-6.90636111159712,-6.90806247994165,-0.000385081592780306,-6.90640031095997,-6.90806691236097,0.870175824791731,0.000178594534991017,0.00515809400184823
0.014,-0.000385392371168086,-6.90636111329183,-6.9080624808228,-0.000385077418020047,-6.90640032041664,-6.90806692220929,0.870177822989617,0.000178597382695331,0.0051580197767335
0.015,-0.000385387796630084,-6.9063611151097,-6.90806248177075,-0.000385072927754554,-6.90640033056305,-6.9080669327795,0.870179971085116,0.0001786004441183,0.00515793998360475
0.016,-0.000385382896782071,-6.9063611170506,-6.90806248278588,-0.000385068120641485,-6.90640034139715,-6.90806694406999,0.870182269480048,0.000178603719852944,0.00515785460755472
0.017,-0.00038537766966631,-6.90636111911428,-6.90806248386855,-0.000385062995245572,-6.90640035291676,-6.90806695607903,0.87018471860338,0.000178607210532475,0.00515776363266919
0.018,-0.000385372113193306,-6.90636112130063,-6.90806248501914,-0.000385057550039175,-6.9064003651195,-6.90806696880477,0.870187318911112,0.000178610916830133,0.00515766704203118
0.019,-0.000385366225150782,-6.90636112360939,-6.90806248623806,-0.000385051783401702,-6.90640037800287,-6.90806698224527,0.870190070886157,0.000178614839459064,0.00515756481772539
0.02,-0.000385360003197159,-6.90636112604041,-6.90806248752577,-0.000385045693620079,-6.90640039156422,-6.90806699639845,0.870192975038215,0.000178618979172135,0.00515745694084293
0.021,-0.000385353444869881,-6.9063611285934,-6.90806248888271,-0.000385039278888333,-6.90640040580079,-6.90806701126213,0.870196031903638,0.000178623336761785,0.00515734339148633
0.022,-0.000385346547571727,-6.90636113126814,-6.90806249030939,-0.000385032537307872,-6.90640042070962,-6.90806702683402,0.870199242045293,0.000178627913059846,0.00515722414877474
0.023,-0.000385339308585013,-6.90636113406443,-6.90806249180629,-0.000385025466887345,-6.90640043628762,-6.90806704311171,0.870202606052408,0.000178632708937331,0.00515709919084952
0.024,-0.000385331725065861,-6.90636113698199,-6.90806249337396,-0.000385018065542558,-6.90640045253161,-6.90806706009267,0.870206124540422,0.00017863772530427,0.00515696849488004
0.025,-0.000385323794041147,-6.90636114002052,-6.90806249501297,-0.000385010331096364,-6.90640046943821,-6.90806707777427,0.870209798150817,0.000178642963109498,0.00515683203706966
0.026,-0.000385315512413018,-6.90636114317982,-6.90806249672388,-0.000385002261279105,-6.90640048700389,-6.90806709615374,0.870213627550954,0.000178648423340417,0.00515668979266216
0.027,-0.000385306876963516,-6.90636114645954,-6.90806249850729,-0.000384993853727894,-6.906400505225,-6.90806711522822,0.870217613433893,0.00017865410702281,0.00515654173594825
0.028,-0.000385297884338623,-6.90636114985943,-6.90806250036385,-0.000384985105987196,-6.90640052409774,-6.90806713499473,0.870221756518211,0.000178660015220582,0.00515638784027243
0.029,-0.000385288531066355,-6.90636115337915,-6.90806250229419,-0.00038497601550852,-6.90640054361818,-6.90806715545015,0.87022605754781,0.00017866614903554,0.00515622807804012
0.03,-0.000385278813545732,-6.90636115701843,-6.90806250429899,-0.000384966579650259,-6.90640056378218,-6.90806717659127,0.870230517291721,0.000178672509607124,0.00515606242072501
0.031,-0.000385268728045882,-6.90636116077692,-6.90806250637896,-0.00038495679567796,-6.90640058458553,-6.90806719841477,0.870235136543898,0.00017867909811218,0.00515589083887671
0.032,-0.000385258270721563,-6.90636116465429,-6.90806250853481,-0.000384946660763968,-6.90640060602388,-6.90806722091718,0.870239916123007,0.000178685915764648,0.00515571330212864
0.033,-0.000385247437587732,-6.90636116865023,-6.90806251076728,-0.000384936171987732,-6.90640062809261,-6.90806724409492,0.870244856872207,0.000178692963815335,0.00515552977920621
0.034,-0.000385236224547856,-6.90636117276434,-6.90806251307715,-0.000384925326335578,-6.9064006507871,-6.90806726794435,0.870249959658924,0.000178700243551597,0.00515534023793518
0.035,-0.000385224627370089,-6.90636117699629,-6.90806251546521,-0.000384914120700602,-6.90640067410252,-6.90806729246161,0.87025522537462,0.000178707756297059,0.00515514464525036
0.036,-0.000385212641701666,-6.90636118134572,-6.90806251793228,-0.000384902551882532,-6.90640069803389,-6.90806731764282,0.870260654934554,0.000178715503411317,0.00515494296720452
0.037,-0.000385200263065955,-6.90636118581224,-6.90806252047917,-0.000384890616588113,-6.90640072257604,-6.90806734348392,0.870266249277535,0.000178723486289624,0.00515473516897755
0.038,-0.000385187486856297,-6.90636119039547,-6.90806252310679,-0.000384878311430831,-6.9064007477238,-6.90806736998077,0.870272009365668,0.000178731706362576,0.00515452121488592
0.039,-0.000385174308344291,-6.90636119509504,-6.908062525816,-0.00038486563293047,-6.9064007734717,-6.90806739712909,0.870277936184099,0.000178740165095781,0.00515430106839229
0.04,-0.000385160722680596,-6.9063611999105,-6.90806252860769,-0.000384852577513695,-6.9064007998142,-6.90806742492448,0.870284030740745,0.000178748863989525,0.00515407469211551
0.041,-0.000385146724880724,-6.90636120484153,-6.90806253148283,-0.00038483914151366,-6.9064008267456,-6.90806745336243,0.870290294066023,0.000178757804578433,0.00515384204784075
0.042,-0.000385132309847942,-6.90636120988764,-6.90806253444236,-0.000384825321169902,-6.90640085426005,-6.9080674824383,0.870296727212569,0.000178766988431113,0.00515360309652992
0.043,-0.000385117472351206,-6.90636121504845,-6.90806253748724,-0.000384811112628558,-6.90640088235153,-6.90806751214737,0.870303331254954,0.000178776417149804,0.00515335779833236
